Ax,Ay,Az,Gx,Gy,Gz,Label
-0.000,0.007,1.027,1.138,-3.675,-0.884,Idle
-0.001,0.008,1.024,1.120,-3.631,-0.928,Idle
-0.004,0.008,1.025,1.085,-3.631,-0.919,Idle
-0.002,0.008,1.025,1.085,-3.640,-0.936,Idle
0.000,0.008,1.025,1.094,-3.631,-0.910,Idle
-0.002,0.009,1.025,1.102,-3.658,-0.910,Idle
-0.003,0.008,1.024,1.033,-3.631,-0.919,Idle
-0.000,0.007,1.025,1.129,-3.649,-0.901,Idle
-0.000,0.008,1.026,1.085,-3.614,-0.901,Idle
-0.003,0.009,1.026,1.129,-3.605,-0.919,Idle
-0.002,0.008,1.024,1.129,-3.631,-0.910,Idle
-0.001,0.008,1.025,1.076,-3.631,-0.901,Idle
0.000,0.007,1.025,1.102,-3.710,-0.945,Idle
-0.002,0.008,1.026,1.138,-3.658,-0.901,Idle
-0.003,0.009,1.025,1.085,-3.640,-0.928,Idle
-0.001,0.007,1.025,1.076,-3.666,-0.998,Idle
-0.002,0.007,1.024,1.041,-3.649,-0.901,Idle
-0.003,0.008,1.026,1.094,-3.666,-0.919,Idle
-0.001,0.008,1.024,1.111,-3.614,-0.901,Idle
-0.001,0.008,1.025,1.085,-3.622,-0.945,Idle
-0.003,0.008,1.026,1.120,-3.614,-0.901,Idle
-0.002,0.008,1.026,1.111,-3.649,-0.919,Idle
0.000,0.008,1.026,1.094,-3.579,-0.928,Idle
-0.002,0.008,1.025,1.094,-3.658,-0.954,Idle
-0.004,0.008,1.026,1.085,-3.622,-0.892,Idle
-0.002,0.008,1.026,1.102,-3.649,-0.928,Idle
-0.001,0.008,1.025,1.138,-3.631,-0.884,Idle
-0.000,0.007,1.025,1.094,-3.684,-0.866,Idle
-0.003,0.008,1.026,1.102,-3.675,-0.901,Idle
-0.003,0.008,1.026,1.059,-3.640,-0.884,Idle
-0.001,0.008,1.024,1.067,-3.649,-0.884,Idle
-0.001,0.007,1.025,1.050,-3.596,-0.928,Idle
-0.002,0.009,1.026,1.041,-3.640,-0.910,Idle
-0.002,0.008,1.027,1.129,-3.631,-0.901,Idle
-0.001,0.008,1.025,1.111,-3.649,-0.910,Idle
-0.001,0.008,1.026,1.067,-3.622,-0.928,Idle
-0.006,0.007,1.022,1.015,-3.614,-0.910,Idle
-0.001,0.009,1.026,0.954,-3.553,-0.892,Idle
-0.003,0.006,1.028,1.067,-3.658,-0.936,Idle
-0.004,0.009,1.027,1.050,-3.588,-0.919,Idle
-0.002,0.008,1.027,1.111,-3.622,-0.875,Idle
-0.001,0.008,1.031,1.155,-3.710,-0.945,Idle
-0.001,0.007,1.025,1.033,-3.622,-0.910,Idle
-0.003,0.008,1.026,1.102,-3.666,-0.919,Idle
-0.001,0.007,1.025,1.102,-3.675,-0.892,Idle
-0.000,0.008,1.026,1.085,-3.701,-0.928,Idle
-0.002,0.007,1.025,1.041,-3.605,-0.936,Idle
-0.003,0.009,1.026,1.111,-3.675,-0.910,Idle
-0.000,0.010,1.023,1.067,-3.658,-0.901,Idle
-0.001,0.009,1.027,1.120,-3.666,-0.928,Idle
-0.003,0.008,1.023,1.067,-3.561,-0.910,Idle
-0.002,0.008,1.023,1.006,-3.631,-0.884,Idle
-0.001,0.008,1.026,1.102,-3.614,-0.936,Idle
-0.002,0.008,1.025,1.041,-3.631,-0.892,Idle
-0.004,0.009,1.027,1.059,-3.649,-0.919,Idle
-0.002,0.008,1.024,1.111,-3.622,-0.875,Idle
0.001,0.006,1.026,1.120,-3.658,-0.884,Idle
-0.003,0.009,1.026,1.076,-3.605,-0.892,Idle
-0.002,0.009,1.025,1.129,-3.640,-0.928,Idle
-0.000,0.010,1.027,1.120,-3.649,-0.919,Idle
0.001,0.008,1.024,1.102,-3.631,-0.875,Idle
-0.001,0.008,1.024,1.085,-3.605,-0.901,Idle
-0.002,0.009,1.025,1.146,-3.622,-0.901,Idle
0.000,0.008,1.025,1.076,-3.649,-0.928,Idle
-0.004,0.012,1.028,1.067,-3.675,-0.936,Idle
-0.002,0.009,1.031,1.120,-3.701,-0.945,Idle
-0.003,0.008,1.032,1.041,-3.596,-0.910,Idle
-0.001,0.006,1.027,1.094,-3.622,-0.928,Idle
0.001,0.009,1.026,1.094,-3.649,-0.919,Idle
0.000,0.007,1.024,1.129,-3.693,-0.945,Idle
-0.002,0.007,1.027,1.111,-3.614,-0.901,Idle
-0.002,0.008,1.027,1.033,-3.614,-0.901,Idle
-0.002,0.009,1.024,1.067,-3.666,-0.928,Idle
0.002,0.007,1.031,1.190,-3.675,-0.936,Idle
-0.003,0.007,1.027,0.998,-3.588,-0.936,Idle
-0.004,0.008,1.028,1.094,-3.622,-0.910,Idle
-0.000,0.009,1.025,1.120,-3.675,-0.840,Idle
0.001,0.007,1.027,1.094,-3.658,-0.919,Idle
-0.004,0.008,1.026,1.094,-3.693,-0.910,Idle
-0.003,0.009,1.025,1.146,-3.666,-0.910,Idle
-0.001,0.007,1.026,1.138,-3.605,-0.919,Idle
-0.002,0.008,1.024,1.050,-3.605,-0.936,Idle
-0.004,0.009,1.025,1.050,-3.631,-0.928,Idle
-0.002,0.009,1.025,1.102,-3.666,-0.945,Idle
0.000,0.008,1.026,1.067,-3.675,-0.910,Idle
-0.001,0.008,1.026,1.094,-3.631,-0.928,Idle
-0.003,0.009,1.024,1.085,-3.649,-0.945,Idle
-0.002,0.008,1.027,1.111,-3.649,-0.954,Idle
0.000,0.010,1.025,1.024,-3.596,-0.919,Idle
-0.002,0.009,1.026,1.181,-3.675,-0.910,Idle
-0.004,0.009,1.026,1.024,-3.622,-0.901,Idle
-0.000,0.007,1.026,1.111,-3.631,-0.884,Idle
0.000,0.008,1.024,1.120,-3.666,-0.954,Idle
-0.002,0.008,1.025,1.076,-3.649,-0.910,Idle
-0.002,0.008,1.023,1.111,-3.666,-0.892,Idle
0.000,0.007,1.029,1.164,-3.658,-0.901,Idle
-0.004,0.006,1.023,0.980,-3.561,-0.928,Idle
-0.002,0.009,1.027,1.076,-3.675,-0.919,Idle
-0.001,0.009,1.024,1.059,-3.622,-0.928,Idle
-0.000,0.008,1.027,1.138,-3.675,-0.901,Idle
-0.002,0.008,1.024,1.067,-3.675,-0.901,Idle
-0.002,0.008,1.025,1.050,-3.622,-0.928,Idle
-0.000,0.007,1.025,1.102,-3.640,-0.962,Idle
0.000,0.009,1.024,1.102,-3.631,-0.945,Idle
-0.002,0.007,1.025,1.050,-3.684,-0.901,Idle
-0.002,0.008,1.027,1.155,-3.675,-0.919,Idle
-0.001,0.008,1.024,1.041,-3.579,-0.928,Idle
-0.001,0.009,1.025,1.129,-3.649,-0.954,Idle
-0.002,0.009,1.027,1.085,-3.622,-0.971,Idle
-0.002,0.008,1.024,1.094,-3.631,-0.919,Idle
-0.000,0.007,1.026,1.059,-3.605,-0.928,Idle
-0.001,0.009,1.024,1.033,-3.570,-0.919,Idle
-0.001,0.007,1.028,1.111,-3.666,-0.919,Idle
-0.000,0.009,1.027,1.111,-3.605,-0.866,Idle
-0.002,0.008,1.025,1.076,-3.588,-0.910,Idle
-0.002,0.007,1.027,1.102,-3.640,-0.936,Idle
-0.001,0.008,1.026,1.102,-3.614,-0.945,Idle
0.000,0.006,1.027,1.085,-3.640,-0.884,Idle
-0.003,0.008,1.022,1.033,-3.579,-0.892,Idle
-0.003,0.007,1.027,1.041,-3.588,-0.928,Idle
-0.001,0.008,1.028,1.120,-3.675,-0.901,Idle
-0.002,0.007,1.021,0.962,-3.553,-0.919,Idle
-0.002,0.008,1.024,1.024,-3.631,-0.919,Idle
-0.001,0.009,1.026,1.085,-3.675,-0.928,Idle
-0.003,0.008,1.025,1.085,-3.588,-0.884,Idle
-0.001,0.010,1.024,1.102,-3.631,-0.849,Idle
-0.002,0.008,1.026,1.006,-3.605,-0.892,Idle
-0.001,0.008,1.028,1.076,-3.631,-0.928,Idle
-0.002,0.006,1.024,1.024,-3.588,-0.928,Idle
-0.001,0.008,1.026,1.059,-3.614,-0.928,Idle
0.000,0.008,1.025,1.120,-3.693,-0.962,Idle
-0.002,0.009,1.028,1.111,-3.640,-0.936,Idle
-0.002,0.009,1.027,1.085,-3.588,-0.928,Idle
-0.001,0.008,1.026,1.076,-3.649,-0.910,Idle
-0.001,0.007,1.025,1.085,-3.640,-0.892,Idle
-0.002,0.008,1.027,1.085,-3.622,-0.919,Idle
-0.002,0.008,1.025,1.041,-3.605,-0.910,Idle
-0.002,0.008,1.025,1.085,-3.622,-0.910,Idle
-0.000,0.008,1.023,1.102,-3.640,-0.892,Idle
-0.003,0.008,1.027,1.120,-3.701,-0.884,Idle
-0.001,0.008,1.026,1.138,-3.649,-0.936,Idle
-0.001,0.008,1.025,1.041,-3.614,-0.910,Idle
-0.001,0.009,1.023,1.120,-3.631,-0.945,Idle
-0.003,0.009,1.027,1.094,-3.605,-0.945,Idle
-0.001,0.009,1.028,1.164,-3.649,-0.928,Idle
